category,main_promotion,color,stars,success_indicator
5,1,9,0.0,0
4,3,9,1.0,1
5,3,8,1.0,0
3,0,4,0.0,0
4,1,4,1.0,1
4,1,9,1.0,1
1,0,8,1.0,1
4,1,4,1.0,1
4,1,9,1.0,1
1,3,3,1.0,0
4,0,0,1.0,1
5,1,2,1.0,1
3,0,5,1.0,1
4,1,1,0.0,1
3,2,1,1.0,1
2,1,5,0.0,0
0,3,0,1.0,1
1,1,2,1.0,1
0,3,1,1.0,1
0,3,8,1.0,1
4,1,4,1.0,1
4,1,4,1.0,1
3,1,1,1.0,0
1,2,0,1.0,1
4,0,0,1.0,1
5,3,9,0.0,1
4,0,1,0.0,1
3,1,0,1.0,1
4,3,4,1.0,1
0,2,3,1.0,1
5,0,2,0.0,0
0,0,0,0.0,0
5,3,8,0.0,1
4,2,0,1.0,1
0,0,1,1.0,1
3,0,5,1.0,1
4,1,1,1.0,1
2,2,3,0.0,0
2,3,0,1.0,0
5,2,0,1.0,0
3,0,4,0.0,0
5,2,4,1.0,1
2,0,6,1.0,1
0,0,4,0.0,0
0,3,0,1.0,1
3,3,6,1.0,0
4,3,4,1.0,1
4,1,2,1.0,1
2,1,4,1.0,1
0,2,1,1.0,1
2,1,5,0.0,0
4,0,2,1.0,1
2,1,2,1.0,1
5,0,5,1.0,1
0,3,4,1.0,1
5,1,3,0.0,1
3,1,5,1.0,1
3,3,6,1.0,1
2,0,0,0.0,0
5,1,9,0.0,0
3,2,7,1.0,1
4,1,1,1.0,0
3,0,7,0.0,0
2,0,8,0.0,0
5,1,1,1.0,1
2,1,6,0.0,0
1,1,7,0.0,0
2,3,3,0.0,0
4,0,7,1.0,0
5,1,3,1.0,1
3,1,1,0.0,0
2,1,1,0.0,1
0,2,1,1.0,1
1,0,3,1.0,0
5,0,7,1.0,0
2,2,9,1.0,1
3,2,7,1.0,1
2,2,9,1.0,1
5,1,1,1.0,1
3,3,6,1.0,1
2,2,9,1.0,1
2,1,8,1.0,1
5,1,4,1.0,1
4,1,0,0.0,1
2,3,2,0.0,0
4,1,1,0.0,1
5,0,9,0.0,0
4,3,9,1.0,1
3,1,1,1.0,1
5,3,3,1.0,0
0,3,0,1.0,0
3,3,0,1.0,1
0,3,4,0.0,0
4,3,4,1.0,1
5,1,1,1.0,1
5,1,7,0.0,0
5,3,8,1.0,1
5,2,0,0.0,0
3,1,1,0.0,0
1,0,9,1.0,1
2,0,9,1.0,1
1,1,5,0.0,0
4,3,9,1.0,1
2,1,6,0.0,0
5,3,9,0.0,0
0,0,1,1.0,1
5,1,3,1.0,1
5,3,1,1.0,1
3,3,3,0.0,1
1,0,4,0.0,0
0,0,0,1.0,1
1,1,8,1.0,1
2,2,9,1.0,1
5,1,3,1.0,1
5,1,8,1.0,1
3,3,1,1.0,1
2,1,4,0.0,0
4,1,1,1.0,1
0,3,4,0.0,0
3,3,3,1.0,0
4,3,9,1.0,1
4,2,7,1.0,1
1,0,3,1.0,1
2,3,5,0.0,0
1,3,1,1.0,1
4,0,0,1.0,1
2,0,6,1.0,1
3,3,0,1.0,1
4,0,4,0.0,0
2,0,4,0.0,0
4,1,3,1.0,1
0,0,7,1.0,1
4,2,0,1.0,1
2,1,4,1.0,1
4,0,7,1.0,1
4,0,7,0.0,0
5,1,7,1.0,1
5,1,4,1.0,0
2,3,3,1.0,1
3,3,7,1.0,1
2,1,4,1.0,0
2,0,9,1.0,1
5,2,4,1.0,1
5,1,3,0.0,0
3,2,1,0.0,1
4,0,2,1.0,0
4,3,4,0.0,0
3,0,5,1.0,1
2,0,6,1.0,1
5,1,9,1.0,1
1,0,5,1.0,1
0,3,1,1.0,1
3,3,8,1.0,1
1,3,2,1.0,0
4,0,3,1.0,1
4,3,0,1.0,1
0,2,1,1.0,1
2,1,4,0.0,1
3,3,9,0.0,1
5,0,9,1.0,1
5,1,9,1.0,0
5,2,4,1.0,1
0,3,7,1.0,1
5,1,4,1.0,1
3,1,7,0.0,0
5,1,9,0.0,0
5,3,4,0.0,1
0,3,1,0.0,0
2,0,7,0.0,0
2,0,3,0.0,0
1,0,9,0.0,1
5,0,0,1.0,1
3,0,7,0.0,0
2,0,3,1.0,1
5,1,1,1.0,1
4,1,4,0.0,0
2,0,4,1.0,0
2,0,1,0.0,0
1,0,4,0.0,0
4,1,1,1.0,1
5,2,0,0.0,0
3,2,1,1.0,1
1,1,8,1.0,1
2,0,1,0.0,0
5,3,1,1.0,1
3,0,5,0.0,1
5,3,1,1.0,1
2,3,9,0.0,0
4,1,9,1.0,1
4,0,7,1.0,1
3,3,3,0.0,1
2,0,9,1.0,1
0,3,4,0.0,0
0,3,1,1.0,1
3,3,1,1.0,1
2,3,9,0.0,1
3,3,3,1.0,1
0,2,5,1.0,1
0,1,0,1.0,1
5,1,2,1.0,1
2,0,1,0.0,0
3,1,4,0.0,0
5,3,4,0.0,1
1,3,8,1.0,1
4,1,3,1.0,1
3,3,0,1.0,1
5,3,1,0.0,1
3,1,7,0.0,0
5,3,7,0.0,0
0,3,0,1.0,1
0,2,1,1.0,1
4,2,1,1.0,0
5,3,0,0.0,1
5,2,0,1.0,0
3,3,2,1.0,0
2,1,4,0.0,0
3,0,6,1.0,1
5,0,3,0.0,0
4,0,4,0.0,0
5,1,0,1.0,1
2,1,3,1.0,0
5,1,7,1.0,1
3,3,1,1.0,1
5,3,1,1.0,1
4,1,1,0.0,1
5,2,4,1.0,1
2,2,4,1.0,1
3,0,5,1.0,1
5,3,1,1.0,1
4,0,0,1.0,1
3,2,1,1.0,1
2,2,9,1.0,1
3,3,1,1.0,1
3,2,7,0.0,0
3,1,0,1.0,1
5,0,6,1.0,0
2,2,4,1.0,1
2,3,2,0.0,1
5,2,4,1.0,1
0,2,1,1.0,1
3,0,7,0.0,0
2,0,6,1.0,1
2,0,5,1.0,1
1,0,3,1.0,1
5,0,7,1.0,0
3,1,7,0.0,0
3,1,1,0.0,1
3,2,5,1.0,1
3,3,3,1.0,1
4,1,4,0.0,1
4,1,3,1.0,1
2,2,9,1.0,0
1,2,1,1.0,1
2,1,7,1.0,0
2,0,7,0.0,0
4,3,9,1.0,1
5,3,4,1.0,1
4,1,4,1.0,1
5,1,2,1.0,1
3,0,0,1.0,1
4,3,7,1.0,1
0,3,5,1.0,1
4,1,4,1.0,1
5,0,3,0.0,0
4,0,3,1.0,1
1,2,9,1.0,1
1,3,3,0.0,1
4,1,4,1.0,1
2,3,1,1.0,1
5,0,3,0.0,0
0,3,7,1.0,0
1,0,5,0.0,1
4,1,9,1.0,1
3,2,0,0.0,1
3,0,1,1.0,1
4,0,4,0.0,0
3,3,3,1.0,1
0,3,0,1.0,1
2,3,9,0.0,0
3,0,4,0.0,1
4,2,4,0.0,0
5,3,1,1.0,1
5,3,1,1.0,1
5,1,2,1.0,1
1,1,8,1.0,1
0,1,8,1.0,1
2,1,6,0.0,0
0,3,1,1.0,1
0,0,7,1.0,1
3,3,7,1.0,1
2,0,9,0.0,0
4,1,1,0.0,0
4,2,1,1.0,1
4,0,9,1.0,1
4,0,5,1.0,1
2,2,6,1.0,1
1,0,5,1.0,1
1,0,9,0.0,0
3,3,6,1.0,1
4,0,4,0.0,1
3,0,5,1.0,1
4,0,1,1.0,1
2,3,4,0.0,0
4,1,3,1.0,1
4,1,9,1.0,1
2,3,2,0.0,0
0,2,9,1.0,1
2,0,9,1.0,0
3,0,0,1.0,1
4,1,4,1.0,1
2,1,4,1.0,0
2,3,8,0.0,0
2,1,0,1.0,1
5,2,4,1.0,1
4,0,7,1.0,1
0,3,6,1.0,1
0,1,0,0.0,1
3,0,4,0.0,0
2,1,4,1.0,0
3,3,6,1.0,1
2,2,6,1.0,1
3,2,5,1.0,0
4,3,7,1.0,1
0,2,1,1.0,1
3,2,1,1.0,1
4,1,4,0.0,0
3,1,4,0.0,0
2,1,5,0.0,0
0,0,9,1.0,1
0,2,3,1.0,1
3,2,1,1.0,1
2,0,4,1.0,0
0,2,2,1.0,0
2,3,9,0.0,0
3,0,7,0.0,0
4,0,1,1.0,0
2,1,3,1.0,1
4,1,1,0.0,1
5,1,1,1.0,1
4,3,4,1.0,1
5,3,1,0.0,1
5,3,1,1.0,1
3,0,4,0.0,0
0,0,9,1.0,0
1,1,8,1.0,1
2,0,9,1.0,1
3,1,7,0.0,0
4,0,4,1.0,1
3,1,3,1.0,1
2,3,2,0.0,0
4,1,3,1.0,0
3,1,3,0.0,0
3,0,7,0.0,0
2,2,4,1.0,1
4,1,7,1.0,1
3,2,0,1.0,1
4,3,9,1.0,1
4,3,6,1.0,1
2,2,9,1.0,1
4,1,3,1.0,1
3,0,1,1.0,1
5,1,1,1.0,1
3,0,9,0.0,1
1,0,4,0.0,1
1,1,8,1.0,0
4,3,9,1.0,1
3,2,5,1.0,1
3,0,4,0.0,0
3,3,3,0.0,1
0,2,7,0.0,0
2,0,9,1.0,1
4,1,9,1.0,1
1,1,9,1.0,1
3,0,5,1.0,1
5,1,4,1.0,1
1,3,6,1.0,1
1,1,8,1.0,1
0,2,2,1.0,1
4,2,7,0.0,0
5,3,1,0.0,1
2,0,6,1.0,1
5,1,1,0.0,1
2,0,6,0.0,0
4,1,9,1.0,1
0,2,1,1.0,1
3,0,7,0.0,1
5,1,1,1.0,1
0,2,1,1.0,1
4,1,7,1.0,1
0,0,7,1.0,1
2,1,4,1.0,0
4,2,0,1.0,1
0,1,7,0.0,0
2,1,6,0.0,0
2,3,8,1.0,1
0,0,4,1.0,1
5,1,2,1.0,1
1,1,4,0.0,0
1,0,7,0.0,0
5,2,4,1.0,1
2,2,9,1.0,1
0,1,4,1.0,1
3,2,4,0.0,0
3,3,1,1.0,1
0,0,6,1.0,0
5,1,7,1.0,0
5,2,0,1.0,0
5,1,2,1.0,1
0,3,7,1.0,1
5,1,3,1.0,1
0,0,9,1.0,1
0,3,1,1.0,1
5,1,3,1.0,1
2,2,0,1.0,0
5,2,0,1.0,0
3,0,0,1.0,1
2,3,5,0.0,0
3,2,1,1.0,1
2,3,9,0.0,0
3,3,1,1.0,1
0,1,9,1.0,1
0,3,1,1.0,1
3,1,7,0.0,0
0,3,0,1.0,1
4,1,6,1.0,1
2,0,6,1.0,1
3,2,5,1.0,0
0,1,6,1.0,1
1,0,7,0.0,1
4,0,0,1.0,1
3,2,1,1.0,1
0,2,1,1.0,1
3,0,0,1.0,1
0,2,7,1.0,1
4,0,0,1.0,1
4,3,9,1.0,1
0,2,2,1.0,1
2,0,4,1.0,0
3,3,3,1.0,0
3,0,4,0.0,0
5,0,3,0.0,1
5,0,0,0.0,0
2,0,5,1.0,1
4,1,4,1.0,1
0,3,7,1.0,0
4,1,4,1.0,1
4,1,3,1.0,1
1,1,2,1.0,1
0,2,1,1.0,1
3,2,8,0.0,0
3,0,5,1.0,1
5,1,7,1.0,0
5,3,1,0.0,1
0,1,7,1.0,0
2,1,2,1.0,1
5,2,0,0.0,0
5,3,1,1.0,1
2,2,9,1.0,1
0,1,7,0.0,1
3,0,2,1.0,1
0,3,1,1.0,1
0,3,7,1.0,1
4,1,7,1.0,1
4,1,9,1.0,0
5,3,4,1.0,1
5,0,9,0.0,1
2,1,0,0.0,1
3,0,0,1.0,1
0,3,1,1.0,1
3,0,5,1.0,1
0,3,4,1.0,0
0,2,1,1.0,1
4,0,4,0.0,0
0,3,0,1.0,1
5,3,8,1.0,0
1,0,9,0.0,0
3,1,4,0.0,1
4,1,9,1.0,1
2,0,8,0.0,0
0,3,1,1.0,1
4,3,9,1.0,1
3,0,5,0.0,0
4,0,4,1.0,1
2,1,4,0.0,0
2,1,1,0.0,0
5,0,3,0.0,0
5,1,1,1.0,1
1,0,5,0.0,1
3,0,4,0.0,0
5,0,6,1.0,1
5,2,4,1.0,1
0,2,0,1.0,1
5,0,3,1.0,1
2,2,9,1.0,1
1,0,0,1.0,1
4,1,7,1.0,1
0,2,2,1.0,0
5,1,3,1.0,1
3,0,0,1.0,1
4,0,0,1.0,1
0,3,7,1.0,1
4,0,7,1.0,1
5,2,4,1.0,1
2,3,2,0.0,0
4,0,0,0.0,1
0,0,1,1.0,1
5,1,3,1.0,1
3,2,1,1.0,1
5,1,3,1.0,1
5,1,7,0.0,1
1,1,9,1.0,0
0,3,0,1.0,1
2,2,9,1.0,1
4,2,0,1.0,1
5,1,9,1.0,1
3,0,5,1.0,1
0,3,1,1.0,1
4,1,9,1.0,1
4,0,7,1.0,1
3,2,0,1.0,1
0,3,1,1.0,1
5,1,2,1.0,1
4,0,4,1.0,1
0,3,1,0.0,1
4,0,0,1.0,1
3,0,0,1.0,1
5,2,4,1.0,1
4,1,7,1.0,1
4,0,4,0.0,1
3,0,3,1.0,1
1,2,1,1.0,1
2,0,9,1.0,1
5,1,2,1.0,1
4,3,1,1.0,1
1,0,7,0.0,0
2,1,1,1.0,0
0,3,4,0.0,0
5,2,4,1.0,1
0,1,3,1.0,1
3,2,7,0.0,1
0,1,1,0.0,0
0,2,1,1.0,1
5,2,4,1.0,1
2,0,4,0.0,0
2,3,3,0.0,0
0,3,1,1.0,1
5,3,4,1.0,1
3,0,5,1.0,1
0,3,0,1.0,1
3,0,5,1.0,1
4,2,0,1.0,1
3,0,5,1.0,1
2,2,9,1.0,0
5,0,6,1.0,1
4,0,0,1.0,1
3,0,7,0.0,0
0,0,0,1.0,1
5,0,7,0.0,0
4,2,0,1.0,1
4,3,6,1.0,0
5,1,7,0.0,0
4,0,4,0.0,0
4,0,7,1.0,1
1,3,8,1.0,1
0,2,2,1.0,1
0,3,7,1.0,1
2,0,6,1.0,1
0,3,0,1.0,1
5,1,9,0.0,0
0,2,2,1.0,1
5,2,0,1.0,0
3,0,7,1.0,0
1,1,8,1.0,1
2,0,9,1.0,1
0,3,1,1.0,1
5,0,3,0.0,0
3,2,5,1.0,1
4,0,0,1.0,1
4,1,4,1.0,1
2,3,8,0.0,0
2,3,9,0.0,0
2,2,9,1.0,0
0,2,1,1.0,1
4,1,1,0.0,1
2,1,4,1.0,1
5,2,0,0.0,0
4,3,9,1.0,1
4,3,3,1.0,1
5,3,2,0.0,0
3,0,4,0.0,0
5,2,4,1.0,1
3,0,0,1.0,1
4,0,7,1.0,1
5,1,8,0.0,1
2,0,9,1.0,1
5,1,1,1.0,0
0,2,2,1.0,1
4,1,4,1.0,1
5,1,7,0.0,1
3,0,7,0.0,0
4,0,4,1.0,1
3,0,4,0.0,0
2,1,0,1.0,1
5,2,0,0.0,0
5,1,1,1.0,1
4,1,8,0.0,1
1,0,6,0.0,1
5,2,0,0.0,0
5,2,0,0.0,0
2,1,2,1.0,1
5,1,4,0.0,0
3,2,6,1.0,1
3,0,4,0.0,0
5,1,2,1.0,1
1,0,2,1.0,1
4,3,9,1.0,1
5,1,3,0.0,1
5,1,3,1.0,1
0,3,5,0.0,0
5,2,4,1.0,1
2,1,5,0.0,0
4,0,0,1.0,1
3,0,4,0.0,1
0,3,9,1.0,1
5,1,1,1.0,0
2,0,4,1.0,0
4,3,9,1.0,1
3,3,6,1.0,1
4,2,0,1.0,1
5,3,9,0.0,0
3,2,1,0.0,1
3,0,7,0.0,0
5,1,4,1.0,1
0,0,0,1.0,1
5,0,4,1.0,1
0,0,2,1.0,1
5,3,0,1.0,1
2,2,9,1.0,1
0,1,1,0.0,0
4,3,4,1.0,0
3,3,6,0.0,1
4,3,4,1.0,0
3,0,4,0.0,0
2,2,4,1.0,0
2,1,7,0.0,0
0,3,4,0.0,0
5,1,2,1.0,1
4,1,3,1.0,1
0,0,9,1.0,1
3,0,0,1.0,1
1,0,5,1.0,1
4,3,9,1.0,1
1,2,9,1.0,1
5,1,1,1.0,1
2,1,8,1.0,0
3,3,3,0.0,1
5,3,4,1.0,1
3,0,6,1.0,1
3,0,7,0.0,0
0,1,1,0.0,0
1,0,6,1.0,1
0,0,5,1.0,1
4,2,4,0.0,0
0,2,8,1.0,1
5,3,2,1.0,0
4,3,4,1.0,1
0,0,4,0.0,0
4,3,5,1.0,1
4,1,4,1.0,1
0,2,2,1.0,1
0,2,1,1.0,1
1,0,9,0.0,0
2,1,8,1.0,1
2,0,1,0.0,0
1,0,3,1.0,1
3,3,9,0.0,1
4,0,0,0.0,1
4,1,9,1.0,1
3,3,1,1.0,1
5,1,4,0.0,1
0,3,0,1.0,1
4,3,6,1.0,1
2,0,1,0.0,0
2,0,3,1.0,1
5,1,1,1.0,0
3,3,9,0.0,1
2,0,9,1.0,1
3,3,6,1.0,1
3,3,9,1.0,1
2,0,1,0.0,0
2,0,9,1.0,1
4,1,4,0.0,0
5,1,4,1.0,1
5,1,7,1.0,0
5,1,1,1.0,1
5,0,2,1.0,1
3,3,1,0.0,1
0,2,2,1.0,1
3,0,5,0.0,0
5,1,1,1.0,1
3,1,4,0.0,1
5,2,0,0.0,0
1,2,1,0.0,1
3,0,4,0.0,1
2,0,9,1.0,1
5,1,0,1.0,1
5,1,3,1.0,1
2,3,2,1.0,0
2,2,9,1.0,0
5,3,1,1.0,0
2,1,8,1.0,1
0,0,9,1.0,1
5,2,0,0.0,0
5,0,3,0.0,0
1,0,3,1.0,1
4,3,9,1.0,1
2,3,9,0.0,1
4,1,4,1.0,0
1,0,5,1.0,1
0,3,4,0.0,0
0,3,4,0.0,0
1,1,4,0.0,0
4,0,4,1.0,1
0,3,0,1.0,1
2,1,4,0.0,0
0,1,8,0.0,0
0,3,7,0.0,0
5,2,4,1.0,1
2,1,7,0.0,0
5,1,1,1.0,1
4,2,0,1.0,1
4,3,4,1.0,0
0,0,9,1.0,1
3,3,5,0.0,0
4,1,3,1.0,1
2,1,2,1.0,1
5,1,4,1.0,1
2,0,9,1.0,1
2,3,1,1.0,1
0,0,9,1.0,1
4,3,9,1.0,1
5,0,2,0.0,0
4,1,9,1.0,1
5,3,1,1.0,1
3,1,4,0.0,1
2,2,9,1.0,1
5,2,0,0.0,0
0,3,4,0.0,0
5,1,2,1.0,1
5,1,4,1.0,1
1,0,3,1.0,1
3,1,7,0.0,1
0,0,1,0.0,0
0,3,4,0.0,1
2,0,3,1.0,1
4,2,2,1.0,1
5,2,4,1.0,1
0,1,1,1.0,1
0,2,2,1.0,1
5,2,4,1.0,1
0,1,4,0.0,1
5,1,5,0.0,1
3,2,5,1.0,1
3,3,3,1.0,1
3,2,5,1.0,1
3,2,1,1.0,1
4,0,7,1.0,0
1,0,6,1.0,1
3,3,1,1.0,1
5,1,7,0.0,0
5,2,7,1.0,1
0,3,8,1.0,1
2,2,6,1.0,0
2,1,8,1.0,1
2,2,0,1.0,0
1,0,0,1.0,0
2,1,3,1.0,0
3,0,5,1.0,1
5,3,4,1.0,1
5,1,9,0.0,0
2,3,4,0.0,1
5,1,4,1.0,1
5,0,3,1.0,0
4,1,2,1.0,1
1,0,3,1.0,0
5,1,4,1.0,1
3,0,7,0.0,0
1,0,3,1.0,1
3,0,4,0.0,0
5,3,2,0.0,0
0,3,1,1.0,1
2,2,9,1.0,0
2,0,9,1.0,1
5,2,9,1.0,1
3,1,7,0.0,0
4,0,7,1.0,1
5,3,4,1.0,1
0,1,0,1.0,1
4,0,7,1.0,1
3,3,2,1.0,1
2,2,9,1.0,1
0,3,4,0.0,1
1,1,8,1.0,1
4,3,4,1.0,1
4,3,7,1.0,1
0,0,7,0.0,0
3,3,3,0.0,1
4,1,0,1.0,1
1,2,3,1.0,1
4,2,0,1.0,1
0,2,8,1.0,1
2,1,2,1.0,1
5,2,4,1.0,1
5,3,2,1.0,0
1,0,5,1.0,1
2,0,1,0.0,0
5,1,3,1.0,1
4,1,4,1.0,1
3,3,5,1.0,1
4,0,0,1.0,1
5,1,9,0.0,0
0,3,7,1.0,1
3,2,1,0.0,1
2,1,4,1.0,1
0,2,0,1.0,1
0,3,3,1.0,1
3,1,8,1.0,1
4,3,4,1.0,1
0,1,7,1.0,1
5,0,3,0.0,0
4,1,0,0.0,1
2,1,8,0.0,1
2,0,4,1.0,0
3,2,0,0.0,1
2,1,1,1.0,1
0,2,0,1.0,1
1,1,8,1.0,1
1,0,6,1.0,0
4,3,1,1.0,1
4,0,9,1.0,1
4,0,0,1.0,1
0,0,1,0.0,0
0,2,2,1.0,1
4,3,9,1.0,1
2,2,9,1.0,1
2,2,9,1.0,0
5,1,3,1.0,1
2,2,0,0.0,0
4,3,4,1.0,0
4,3,9,1.0,0
0,2,0,1.0,1
2,1,6,0.0,0
0,0,9,1.0,1
4,0,9,1.0,1
1,2,3,1.0,1
0,0,9,1.0,1
4,1,3,1.0,0
4,3,6,1.0,1
4,3,4,1.0,1
5,2,4,1.0,1
3,3,6,1.0,1
2,1,1,1.0,1
2,1,9,1.0,1
4,1,9,1.0,1
0,1,0,1.0,1
1,1,8,1.0,1
0,0,7,1.0,1
1,1,8,1.0,1
1,3,3,1.0,1
2,3,2,0.0,0
3,2,1,1.0,1
2,1,7,0.0,0
4,0,7,1.0,1
5,1,7,0.0,0
3,3,6,1.0,1
2,0,1,0.0,0
5,3,4,1.0,1
3,3,0,0.0,1
0,2,1,1.0,1
3,2,8,1.0,1
2,0,6,0.0,1
5,1,2,1.0,1
5,0,4,1.0,0
2,1,3,1.0,0
4,2,7,1.0,0
3,3,1,0.0,1
0,3,7,1.0,0
0,3,0,1.0,1
3,1,1,1.0,1
3,2,5,1.0,1
1,3,1,0.0,1
5,2,4,1.0,1
3,0,4,0.0,0
2,1,4,0.0,0
0,0,9,1.0,0
5,2,0,0.0,0
2,3,0,0.0,1
4,3,6,1.0,1
2,1,5,0.0,0
1,0,0,1.0,1
5,0,9,0.0,0
5,3,1,1.0,1
0,0,4,0.0,0
2,0,4,0.0,1
2,3,3,1.0,0
4,1,3,1.0,1
4,0,0,1.0,1
5,0,3,1.0,0
2,1,2,1.0,1
4,1,4,0.0,0
0,3,1,1.0,1
0,3,7,0.0,0
3,0,4,0.0,0
4,3,1,1.0,1
5,1,7,1.0,1
2,2,1,0.0,0
3,0,5,1.0,1
5,1,1,1.0,0
2,1,4,1.0,0
0,2,1,1.0,1
4,2,0,1.0,1
4,1,7,1.0,1
2,2,9,1.0,1
3,1,7,1.0,1
0,3,7,1.0,1
2,1,9,0.0,0
3,1,7,0.0,0
4,1,0,1.0,1
1,0,5,1.0,1
5,3,1,1.0,1
4,0,7,1.0,1
3,0,4,0.0,0
0,3,0,1.0,1
4,3,9,1.0,1
2,1,2,1.0,1
4,1,7,1.0,1
4,3,9,1.0,1
1,1,8,1.0,1
0,2,1,1.0,1
4,0,0,1.0,1
5,1,3,0.0,0
0,0,0,1.0,1
3,0,5,1.0,1
0,3,0,1.0,0
3,2,1,1.0,1
3,2,6,1.0,1
3,0,7,0.0,1
5,0,9,1.0,1
1,0,5,1.0,1
3,3,3,0.0,1
3,3,8,1.0,1
2,0,9,1.0,1
4,3,4,1.0,1
4,1,6,1.0,1
3,1,9,0.0,0
3,1,5,1.0,1
1,2,1,1.0,1
2,0,9,0.0,0
0,3,4,0.0,0
5,3,9,0.0,0
3,3,1,1.0,1
3,2,5,1.0,0
4,3,9,1.0,1
3,0,3,1.0,1
2,1,1,1.0,1
4,0,7,1.0,1
4,0,4,0.0,0
0,3,1,1.0,1
4,1,1,0.0,0
1,1,2,1.0,1
2,0,8,0.0,0
2,0,9,1.0,1
4,3,9,1.0,0
3,1,5,1.0,0
4,3,4,1.0,1
2,0,8,1.0,1
5,1,2,1.0,1
0,2,8,1.0,1
0,1,1,0.0,0
3,3,8,1.0,1
1,3,2,0.0,0
1,0,7,1.0,1
3,0,5,0.0,0
1,1,4,0.0,0
5,3,4,1.0,1
3,3,8,1.0,1
5,0,4,1.0,1
5,3,4,1.0,1
3,0,5,1.0,1
4,0,0,1.0,1
0,3,5,0.0,0
2,0,7,1.0,0
5,1,3,0.0,0
5,0,3,1.0,1
4,2,0,1.0,1
0,1,8,0.0,1
4,3,0,1.0,1
1,0,9,1.0,1
3,3,1,0.0,0
0,1,1,0.0,1
5,3,4,1.0,1
3,2,1,1.0,1
3,3,6,0.0,1
4,3,7,1.0,1
2,0,5,1.0,1
1,0,9,1.0,1
5,3,1,0.0,1
2,0,2,1.0,1
3,0,5,1.0,1
3,0,0,1.0,1
4,1,1,0.0,1
2,1,8,1.0,1
1,0,5,1.0,0
0,3,0,1.0,1
4,0,1,1.0,1
0,3,4,1.0,1
3,3,3,1.0,1
2,2,9,1.0,0
2,0,4,1.0,0
4,2,4,0.0,0
0,3,7,1.0,1
0,2,4,0.0,0
3,1,5,1.0,1
3,1,1,0.0,0
5,1,4,1.0,1
4,2,9,1.0,1
5,1,7,0.0,0
5,1,4,1.0,1
4,0,7,1.0,1
0,0,9,1.0,1
0,1,8,0.0,0
1,0,8,1.0,1
1,0,4,0.0,0
4,0,7,1.0,1
5,3,4,0.0,1
4,0,9,1.0,1
3,1,9,1.0,1
3,2,5,1.0,1
4,0,3,1.0,1
0,3,6,1.0,1
5,1,3,1.0,1
2,0,6,0.0,0
5,0,3,0.0,0
0,1,7,1.0,1
2,1,4,1.0,0
3,1,6,1.0,1
5,1,3,1.0,1
5,0,3,0.0,0
5,1,2,1.0,0
5,0,7,1.0,0
0,3,0,1.0,0
3,3,7,1.0,0
2,0,1,0.0,0
0,3,7,1.0,1
1,1,8,1.0,1
3,3,9,1.0,1
0,2,1,1.0,1
0,1,3,1.0,1
4,0,7,0.0,0
4,1,4,1.0,1
2,1,1,1.0,1
0,3,4,0.0,0
2,1,9,0.0,0
3,2,1,1.0,1
3,0,4,0.0,0
3,3,6,1.0,1
4,1,8,1.0,1
2,1,4,0.0,0
4,2,0,1.0,1
0,2,1,1.0,1
5,3,1,0.0,1
2,1,1,1.0,1
0,1,1,0.0,0
2,3,6,0.0,0
2,3,2,0.0,0
5,3,4,1.0,1
1,0,5,0.0,1
2,1,1,0.0,1
0,3,1,0.0,0
3,1,7,0.0,0
4,2,0,1.0,1
5,1,1,1.0,1
5,1,1,1.0,1
2,1,8,1.0,1
4,0,4,1.0,1
4,3,9,1.0,1
4,1,1,1.0,1
5,1,4,1.0,1
5,1,7,0.0,0
4,3,9,1.0,1
0,0,1,1.0,1
2,1,5,0.0,0
4,1,3,1.0,1
0,3,1,1.0,0
2,3,9,0.0,0
4,0,4,0.0,0
5,1,2,1.0,1
5,2,0,0.0,0
4,1,1,0.0,1
4,3,1,1.0,0
3,3,3,1.0,1
2,1,5,0.0,0
4,3,4,1.0,0
0,2,1,1.0,1
5,1,9,0.0,0
5,0,3,0.0,0
5,0,9,0.0,0
3,3,1,1.0,1
2,2,9,1.0,1
4,0,9,1.0,1
1,1,7,0.0,0
0,3,4,1.0,0
5,2,3,1.0,1
2,2,9,1.0,1
3,3,6,1.0,1
2,0,4,1.0,0
2,0,6,1.0,1
2,0,6,1.0,1
5,3,1,1.0,1
4,0,4,0.0,0
0,3,4,0.0,0
5,1,2,1.0,1
5,1,3,0.0,0
0,3,0,1.0,1
4,2,0,1.0,1
2,2,9,1.0,1
0,1,4,0.0,1
5,1,2,1.0,1
3,3,1,0.0,1
3,0,9,1.0,1
2,3,9,0.0,0
5,3,2,1.0,0
5,1,9,0.0,1
2,2,9,1.0,1
2,0,4,0.0,0
4,1,4,1.0,1
4,3,7,1.0,1
4,0,4,0.0,0
1,0,7,0.0,0
5,1,1,1.0,1
5,0,3,0.0,0
3,0,0,1.0,1
4,0,0,1.0,1
5,3,1,1.0,1
5,1,6,1.0,0
5,1,1,1.0,1
5,2,0,0.0,0
3,0,3,1.0,1
5,1,2,1.0,1
4,0,3,1.0,1
5,0,9,0.0,0
0,3,7,1.0,1
1,1,2,1.0,1
0,2,1,1.0,1
3,3,3,1.0,1
1,0,3,1.0,1
5,1,4,0.0,1
1,0,8,1.0,1
1,1,7,1.0,0
0,1,5,1.0,0
5,3,1,0.0,0
1,1,6,1.0,0
0,1,9,1.0,1
5,1,2,1.0,1
1,0,0,1.0,1
